src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,37260.0,2025-07-30 10:57:16.954000+00:00,2025-07-30T10:57:14.995Z,10,2,2025-07-30
192.168.1.88,37264.0,2025-07-30 10:57:16.954000+00:00,2025-07-30T10:57:14.994Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:57:11.962000+00:00,2025-07-30T10:57:09.980Z,10,2,2025-07-30
192.168.1.88,47668.0,2025-07-30 10:57:11.962000+00:00,2025-07-30T10:57:09.978Z,10,2,2025-07-30
192.168.1.88,47664.0,2025-07-30 10:57:11.962000+00:00,2025-07-30T10:57:09.972Z,10,2,2025-07-30
192.168.1.88,47654.0,2025-07-30 10:57:11.962000+00:00,2025-07-30T10:57:09.971Z,10,2,2025-07-30
192.168.1.88,47654.0,2025-07-30 10:57:11.962000+00:00,2025-07-30T10:57:09.971Z,10,2,2025-07-30
192.168.1.12,54380.0,2025-07-30 10:57:06.944000+00:00,2025-07-30T10:57:04.974Z,10,2,2025-07-30
192.168.1.88,59710.0,2025-07-30 10:57:06.944000+00:00,2025-07-30T10:57:04.974Z,10,2,2025-07-30
192.168.1.88,59710.0,2025-07-30 10:57:06.944000+00:00,2025-07-30T10:57:04.974Z,10,2,2025-07-30
192.168.1.88,59698.0,2025-07-30 10:57:06.944000+00:00,2025-07-30T10:57:04.962Z,10,2,2025-07-30
192.168.1.88,59700.0,2025-07-30 10:57:06.944000+00:00,2025-07-30T10:57:04.960Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:57:06.943000+00:00,2025-07-30T10:57:04.988Z,10,2,2025-07-30
192.168.1.67,57602.0,2025-07-30 10:57:06.943000+00:00,2025-07-30T10:57:04.987Z,10,2,2025-07-30
192.168.1.88,59716.0,2025-07-30 10:57:06.943000+00:00,2025-07-30T10:57:04.975Z,10,2,2025-07-30
192.168.1.88,59728.0,2025-07-30 10:57:06.943000+00:00,2025-07-30T10:57:04.974Z,10,2,2025-07-30
192.168.1.88,47624.0,2025-07-30 10:57:06.942000+00:00,2025-07-30T10:57:04.989Z,10,2,2025-07-30
192.168.1.88,47638.0,2025-07-30 10:57:06.942000+00:00,2025-07-30T10:57:04.988Z,10,2,2025-07-30
192.168.1.88,42014.0,2025-07-30 10:56:56.971000+00:00,2025-07-30T10:56:55.047Z,10,2,2025-07-30
192.168.1.88,42038.0,2025-07-30 10:56:56.971000+00:00,2025-07-30T10:56:55.045Z,10,2,2025-07-30
192.168.1.88,42014.0,2025-07-30 10:56:56.971000+00:00,2025-07-30T10:56:55.045Z,10,2,2025-07-30
192.168.1.88,42012.0,2025-07-30 10:56:56.971000+00:00,2025-07-30T10:56:54.970Z,10,2,2025-07-30
192.168.1.88,42010.0,2025-07-30 10:56:56.971000+00:00,2025-07-30T10:56:54.965Z,10,2,2025-07-30
192.168.1.88,59682.0,2025-07-30 10:56:56.970000+00:00,2025-07-30T10:56:55.080Z,10,2,2025-07-30
192.168.1.88,59668.0,2025-07-30 10:56:56.970000+00:00,2025-07-30T10:56:55.079Z,10,2,2025-07-30
192.168.1.67,57603.0,2025-07-30 10:56:56.970000+00:00,2025-07-30T10:56:55.078Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:56:56.970000+00:00,2025-07-30T10:56:55.077Z,10,2,2025-07-30
192.168.1.88,42026.0,2025-07-30 10:56:56.970000+00:00,2025-07-30T10:56:55.047Z,10,2,2025-07-30
192.168.1.88,41990.0,2025-07-30 10:56:51.965000+00:00,2025-07-30T10:56:49.964Z,10,2,2025-07-30
192.168.1.88,41982.0,2025-07-30 10:56:51.965000+00:00,2025-07-30T10:56:49.964Z,10,2,2025-07-30
192.168.1.88,41982.0,2025-07-30 10:56:51.965000+00:00,2025-07-30T10:56:49.960Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:56:51.964000+00:00,2025-07-30T10:56:49.987Z,10,2,2025-07-30
192.168.1.67,57602.0,2025-07-30 10:56:51.964000+00:00,2025-07-30T10:56:49.986Z,10,2,2025-07-30
192.168.1.88,42006.0,2025-07-30 10:56:51.964000+00:00,2025-07-30T10:56:49.986Z,10,2,2025-07-30
192.168.1.12,38530.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.989Z,10,2,2025-07-30
192.168.1.88,38174.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.989Z,10,2,2025-07-30
192.168.1.88,38178.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.988Z,10,2,2025-07-30
192.168.1.88,38174.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.987Z,10,2,2025-07-30
192.168.1.88,38164.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.969Z,10,2,2025-07-30
192.168.1.88,38172.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.963Z,10,2,2025-07-30
192.168.1.94,59297.0,2025-07-30 10:56:46.940000+00:00,2025-07-30T10:56:44.961Z,10,2,2025-07-30
192.168.1.88,41952.0,2025-07-30 10:56:46.939000+00:00,2025-07-30T10:56:45.075Z,10,2,2025-07-30
192.168.1.67,57604.0,2025-07-30 10:56:46.939000+00:00,2025-07-30T10:56:45.075Z,10,2,2025-07-30
192.168.1.88,41966.0,2025-07-30 10:56:46.939000+00:00,2025-07-30T10:56:45.074Z,10,2,2025-07-30
192.168.1.67,57603.0,2025-07-30 10:56:46.939000+00:00,2025-07-30T10:56:45.073Z,10,2,2025-07-30
192.168.1.88,38190.0,2025-07-30 10:56:46.939000+00:00,2025-07-30T10:56:44.990Z,10,2,2025-07-30
192.168.1.88,50460.0,2025-07-30 10:56:36.968000+00:00,2025-07-30T10:56:34.975Z,10,2,2025-07-30
192.168.1.88,50444.0,2025-07-30 10:56:36.968000+00:00,2025-07-30T10:56:34.975Z,10,2,2025-07-30
